id,question_id,question,question_type,question_images,option_a,option_b,option_c,option_d,answer,question_category
1,1,Which statement is NOT correct regarding the Difficulty judges?,1,,There are 4 D judges,Each subgroup (2+2) gives a partial D score,The D score is the average of the two middle scores,The final D score is the sum of the two partial scores,C,theory
2,2,Which statement is correct regarding the Execution judges?,1,,6 Execution judges (2+4) for World Championships,Final E score: average of two subgroups,Final E score with 5 judges: average of the 3 middle scores,5 Judges for international tournament,A,theory
3,3,"During a hoop exercise, the gymnast throws the hoop too far and it bounces outside boundary of the floor area and returns to her by itself. What is the penalty by the Coordinator Judge?",1,,0.30,0.10,No Penalty,None of the above,A,theory
4,4,"During a ribbon routine, the gymnast performs a large circle over the boundary of the floor area without the ribbon touching the floor. What is the penalty by the Coordinator Judge?",1,,0.30,0.10,No Penalty,None of the above,C,theory
5,5,"During a ball exercise, the gymnast’s ball bounces out of the floor area and she steps over the boundary to retrieve it. What is the penalty by the Coordinator Judge?",1,,0.30 + 0.30,0.30 + 0.10,0.10 + 0.10,0.30,A,theory
6,6,"During a Group exercise, one of the gymnasts reaches for the apparatus and ends the exercise with her foot outside the boundary of the floor area. What is the penalty by the Coordinator Judge?",1,,No penalty (final movement),0.30,0.10,0.50,B,theory
7,7,"At the end of her exercise, a gymnast attempts to catch the Hoop from her final throw and on the final movement, the Hoop is lost and crosses the boundary of the floor area. What is the penalty by the Coordinator Judge?",1,,No penalty (final movement),0.30 apparatus crossing the floor area,0.10 apparatus crossing the floor area,None of the above,A,theory
8,8,"Which answer is correct?  If the ribbon of a gymnast breaks during the exercise, she may:",1,,Start the exercise over again,Be penalized 0.50 for broken apparatus by the Coordinator Judge,Continue with a broken apparatus,Remove the broken apparatus and use a replacement apparatus,D,theory
9,9,A gymnast performs her exercise with blue bandaging on her knee. What is the penalty by the Coordinator Judge?,1,,No penalty,0.30,0.50,None of the above,B,theory
10,10,Which of the following is NOT a penalty by the Coordinator Judge for 0.50?,1,,Early or late presentation by the gymnast or the Group,Gymnasts warming up in the competition hall,Group gymnasts communicating verbally with each during the exercise,Dress of the gymnast not conforming to regulations,D,theory
11,11,Which of the following Difficulty (D) requirements is NOT correct for Senior Gymnasts?,1,,Maximum 9 Body difficulties (<strong>BD</strong>)  ,Minimum 1 Dance Steps combination (<strong>S</strong>),Maximum 3 Dynamic elements with Rotation and throw (<strong>R</strong>),Minimum 1 Apparatus Mastery (<strong>AD</strong>),C,theory
12,12,Which of the following Difficulty penalties is NOT correct?,1,,Less than 3 Body Difficulties performed – 0.3,More than one Slow Turn – 0.3,Missing minimum 1 Dynamic Elements with Rotation – 0.3,Missing minimum 3 Apparatus Difficulty – 0.3,D,theory
13,13,Which of the following statements is NOT correct?,1,,"Each <strong>BD</strong> is counted only once, if the <strong>BD</strong> is repeated, the difficulty is not valid",It is possible to perform jumps/leaps or pivots in a series.  The series counts as one element ,<strong>BD</strong> are valid when performed with a minimum 1 Fundamental or Non-Fundamental Technical element,It is possible to perform body waves or pre-acrobatic elements connected to <strong>BD</strong>. These have no additional value for the <strong>BD</strong>.,B,theory
14,14,Which of the following requirements for Dance Steps Combination is INCORRECT?,1,,With a minimum 1 Fundamental Apparatus Technical Group,With a minimum 8 seconds starting from the first dance movement,"According to the tempo, rhythm, musical character and accents ","With a minimum 3 different varieties of movement: modalities, rhythm, direction or level",D,theory
15,15,Which of the following statements is correct?,1,,Every apparatus has 4 Fundamental Apparatus Technical Groups,"Penalty by the Artistic Execution (E1, E2) Judge: 0.30 for each missing Fundamental Apparatus Technical Group specific to each apparatus",Apparatus technical elements are not limited but cannot be performed identically in BD,All of the above statements are correct,D,theory
16,16,What is the correct penalty for the following faults and who deducts it?  Use of Space:,1,,"Insufficient variety in the use of levels (gymnast in flight, standing, on the floor, etc.) [0.20 by the Artistic Execution Jury (E1/E2)]","Insufficient variety of directions of apparatus movements (forward, backwards, etc.) [ 0.20 by the Technical Execution Jury (E3/E4/E5/E6)]","Lack of variety in the use of levels, directions and modalities of travelling: [0.10 by the Difficulty Jury]",The floor area is not completely used: [0.20 by the Difficulty Jury],A,theory
17,17,What are the correct symbols for the following difficulties?,2,"{""type"":""image"", ""table_columns"":""4"", ""path"" :  {""location"":""static/exam_images/q17"",""filename"":[""q17_q_1.jpg"",""q17_q_2.jpg"",""q17_q_3.jpg"",""q17_q_4.jpg""]}}","{""type"":""image"", ""table_columns"":""4"", ""path"" :  {""location"":""static/exam_images/q17"",""filename"":[""q17_a_1.jpg"",""q17_a_2.jpg"",""q17_a_3.jpg"",""q17_a_4.jpg""]}}","{""type"":""image"", ""table_columns"":""4"", ""path"" :  {""location"":""static/exam_images/q17"",""filename"":[""q17_b_1.jpg"",""q17_b_2.jpg"",""q17_b_3.jpg"",""q17_b_4.jpg""]}}","{""type"":""image"", ""table_columns"":""4"", ""path"" :  {""location"":""static/exam_images/q17"",""filename"":[""q17_c_1.jpg"",""q17_c_2.jpg"",""q17_c_3.jpg"",""q17_c_4.jpg""]}}","{""type"":""image"", ""table_columns"":""4"", ""path"" :  {""location"":""static/exam_images/q17"",""filename"":[""q17_d_1.jpg"",""q17_d_2.jpg"",""q17_d_3.jpg"",""q17_d_4.jpg""]}}",A,theory
18,18,What is the correct symbol and the value for the following jumps/leap?,4,"{""type"":""image"", ""table_columns"":""4"", ""location"":""static/exam_images/q18/q18_q_1.jpg""}","{""type"":""image"", ""image_location"":""static/exam_images/q18/q18_a_1.jpg"", ""text"":""0.4""}","{""type"":""image"", ""image_location"":""static/exam_images/q18/q18_b_1.jpg"", ""text"":""0.3""}","{""type"":""image"", ""image_location"":""static/exam_images/q18/q18_c_1.jpg"", ""text"":""0.4""}","{""type"":""image"", ""image_location"":""static/exam_images/q18/q18_d_1.jpg"", ""text"":""0.3""}",A,theory
19,19,What are the correct values for the following jumps/leaps?,3,"{""type"":""image"", ""table_columns"":""4"", ""path"" :  {""location"":""static/exam_images/q19"",""filename"":[""q19_q_1.jpg"",""q19_q_2.jpg"",""q19_q_3.jpg"",""q19_q_4.jpg""]}}","{""q_a"":[""0.30"",""0.10"",""0.30"",""0.20""]}","{""q_a"":[""0.20"",""0.20"",""0.20"",""0.30""]}","{""q_a"":[""0.30"",""0.20"",""0.30"",""0.30""]}","{""q_a"":[""0.40"",""0.30"",""0.40"",""0.10""]}",C,theory
20,20,What are the values of the following 360˚ rotation difficulties?,3,"{""type"":""image"", ""table_columns"":""4"", ""path"" :  {""location"":""static/exam_images/q20"",""filename"":[""q20_q_1.jpg"",""q20_q_2.jpg"",""q20_q_3.jpg"",""q20_q_4.jpg""]}}","{""q_a"":[""0.20"",""0.30"",""0.40"",""0.50""]}","{""q_a"":[""0.30"",""0.40"",""0.20"",""0.40""]}","{""q_a"":[""0.30"",""0.30"",""0.30"",""0.30""]}","{""q_a"":[""0.20"",""0.40"",""0.30"",""0.30""]}",D,theory
21,21,What is the Body Difficulty Group of this difficulty?  [Value 0.2],4,"{""type"":""image"", ""table_columns"":""4"", ""location"":""static/exam_images/q20/q20_q_1.jpg""}","{""type"":""image"", ""image_location"":"""", ""text"":""Flexability""}","{""type"":""image"", ""image_location"":"""", ""text"":""Pivot""}","{""type"":""image"", ""image_location"":"""", ""text"":""Rotation""}","{""type"":""image"", ""image_location"":"""", ""text"":""Balance""}",C,theory
22,22,What is the correct Artistic Execution deduction for the following:  “Insufficient participation of both the body segments or the face”,1,,0.10,0.20,0.30,0.50,A,theory
